,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,modulos_iniciados,modulos_finalizados,certificados,categoria
51,Tecnólogo,UEPB,Outros,Montadora,0.0,0.0,1.0,6.0,Outros,10.0,10.0,0.0,perfil4
54,Outros,UNIVERSIDADE NOVE DE JULHO,Analista,Estado,0.0,0.0,1.0,2.0,Outros,7.0,5.0,0.0,perfil5
56,Especialização,UFRJ,Analista,Estado,1.0,1.0,1.0,5.0,Outros,2.0,1.0,0.0,perfil6
57,Licenciatura,UFSCar,SEM EXPERIÊNCIA,e-commerce,1.0,1.0,1.0,3.0,Facebook,10.0,9.0,0.0,perfil6
59,Bacharelado,UEPB,Supervisor,Borracha,0.0,0.0,1.0,10.0,Saint Paul,12.0,9.0,0.0,perfil1
68,SEM FORMAÇÃO,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Coordenador,Borracha,0.0,0.0,1.0,2.0,Outros,2.0,1.0,0.0,perfil6
69,Bacharelado,UNICAMP,Diretor,Oleo e Gas,0.0,0.0,1.0,6.0,Instagram,10.0,10.0,0.0,perfil4
70,Licenciatura,USP,Outros,Eletroeletronicos,0.0,0.0,1.0,6.0,Instagram,26.0,16.0,0.0,perfil3
71,SEM FORMAÇÃO,USP,Gerente,Montadora,1.0,1.0,1.0,7.0,Mídia (revista/jornal/web),6.0,2.0,0.0,perfil6
77,SEM FORMAÇÃO,FGV-RJ,Advogado,Outros,1.0,1.0,1.0,2.0,Linkedin,58.0,57.0,0.0,perfil4
78,MBA,UNIP,Diretor,Montadora,0.0,0.0,1.0,8.0,Google,61.0,38.0,0.0,perfil2
80,Licenciatura,UFSCar,Advogado,Estado,0.0,0.0,1.0,8.0,YouTube,2.0,1.0,0.0,perfil6
81,SEM FORMAÇÃO,FGV-RJ,SEM EXPERIÊNCIA,servicos,1.0,1.0,1.0,3.0,Facebook,24.0,24.0,0.0,perfil2
82,SEM FORMAÇÃO,UNICAMP,Gerente,Laminados,0.0,0.0,1.0,7.0,Outros,7.0,5.0,0.0,perfil5
84,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Assessor,Montadora,0.0,0.0,1.0,7.0,Minha empresa - benefício LITpass,91.0,71.0,0.0,perfil2
85,Outros,INSPER INSTITUTO DE ENSINO E PESQUISA,Diretor,Montadora,1.0,1.0,1.0,9.0,Google,5.0,3.0,0.0,perfil6
90,Especialização,UNICAMP,SEM EXPERIÊNCIA,servicos,1.0,1.0,1.0,5.0,Outros,2.0,1.0,0.0,perfil6
96,Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Eletroeletronicos,1.0,1.0,1.0,7.0,Saint Paul,17.0,12.0,0.0,perfil4
97,Bacharelado,UFRJ,Supervisor,Eletrodomesticos,1.0,1.0,1.0,4.0,Outros,12.0,8.0,0.0,perfil5
100,SEM FORMAÇÃO,UNICAMP,Advogado,Oleo e Gas,1.0,1.0,1.0,9.0,Facebook,37.0,36.0,1.0,perfil5
103,SEM FORMAÇÃO,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Analista Senior,Oleo e Gas,0.0,0.0,1.0,2.0,Outros,2.0,1.0,0.0,perfil6
104,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Entretenimento,1.0,1.0,1.0,9.0,Outros,13.0,8.0,0.0,perfil5
105,SEM FORMAÇÃO,UFRN,Diretor,Laminados,0.0,0.0,1.0,6.0,Facebook,36.0,27.0,0.0,perfil2
110,Outros,FGV-RJ,Outros,Estado,1.0,1.0,1.0,7.0,Saint Paul,8.0,5.0,0.0,perfil5
113,Outros,UFSCar,Sócio/Dono/Proprietário,Siderurgica,1.0,1.0,1.0,3.0,Linkedin,2.0,1.0,0.0,perfil6
117,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Diretor,Eletrodomesticos,0.0,0.0,1.0,2.0,Outros,3.0,1.0,0.0,perfil6
119,MBA,UEPB,Assessor,Entretenimento,0.0,0.0,1.0,10.0,Outros,3.0,1.0,0.0,perfil6
120,Tecnólogo,UNICAMP,SEM EXPERIÊNCIA,e-commerce,0.0,0.0,1.0,10.0,YouTube,5.0,3.0,0.0,perfil6
122,Licenciatura,FATEC,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,8.0,Facebook,1.0,1.0,0.0,perfil6
124,Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Coordenador,Estado,1.0,1.0,1.0,8.0,Linkedin,4.0,1.0,0.0,perfil6
125,Especialização,UEPB,Analista Senior,e-commerce,0.0,0.0,1.0,3.0,Outros,44.0,33.0,0.0,perfil2
126,Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Entretenimento,1.0,1.0,1.0,2.0,Instagram,5.0,3.0,0.0,perfil2
128,Licenciatura,UFRN,Diretor,Montadora,0.0,0.0,1.0,3.0,Google,14.0,12.0,0.0,perfil4
130,Especialização,UEPB,Diretor,Borracha,0.0,0.0,1.0,4.0,Minha empresa - benefício LITpass,10.0,8.0,0.0,perfil5
132,Outros,Escola Paulista de Direito,Outros,Eletroeletronicos,1.0,1.0,1.0,7.0,YouTube,2.0,2.0,0.0,perfil6
135,SEM FORMAÇÃO,FACULDADE ANHANGUERA,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,7.0,Saint Paul,179.0,168.0,4.0,perfil3
139,Bacharelado,UFF,Engenheiro,Eletroeletronicos,0.0,0.0,1.0,10.0,Outros,4.0,3.0,0.0,perfil6
141,Tecnólogo,Unesp,Analista,Eletroeletronicos,0.0,0.0,1.0,2.0,Mídia (revista/jornal/web),4.0,1.0,0.0,perfil6
148,Especialização,FACULDADE ANHANGUERA,Diretor,Siderurgica,1.0,1.0,1.0,2.0,Linkedin,3.0,1.0,0.0,perfil6
149,Especialização,UFSCar,Outros,Borracha,0.0,0.0,1.0,10.0,Outros,36.0,34.0,1.0,perfil4
155,Bacharelado,UFSCar,Engenheiro,servicos,0.0,0.0,1.0,9.0,Outros,16.0,8.0,0.0,perfil5
157,Outros,UNIVERSIDADE NOVE DE JULHO,Engenheiro,e-commerce,1.0,1.0,1.0,9.0,Minha empresa - benefício LITpass,175.0,170.0,0.0,perfil2
158,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Gerente,Eletrodomesticos,1.0,1.0,1.0,3.0,Saint Paul,29.0,28.0,1.0,perfil1
159,Licenciatura,UNIP,SEM EXPERIÊNCIA,Montadora,1.0,1.0,1.0,4.0,Instagram,12.0,11.0,0.0,perfil4
160,Bacharelado,FGV-RJ,Gerente,Oleo e Gas,0.0,0.0,1.0,2.0,Google,18.0,13.0,0.0,perfil4
162,Licenciatura,UFRN,Gerente,Montadora,0.0,0.0,1.0,4.0,YouTube,25.0,20.0,0.0,perfil6
163,MBA,UFRN,Gerente,Eletroeletronicos,1.0,1.0,1.0,9.0,Instagram,7.0,7.0,0.0,perfil5
165,Licenciatura,UEPB,Supervisor,Outros,1.0,1.0,1.0,9.0,Outros,10.0,7.0,0.0,perfil5
169,MBA,UFF,Outros,Estado,0.0,0.0,1.0,8.0,Mídia (revista/jornal/web),21.0,15.0,0.0,perfil3
171,Tecnólogo,UFRJ,Diretor,Outros,1.0,1.0,1.0,8.0,Minha empresa - benefício LITpass,96.0,77.0,0.0,perfil2
172,MBA,UFRJ,Outros,Entretenimento,0.0,0.0,1.0,5.0,Linkedin,6.0,6.0,0.0,perfil5
173,Especialização,UNIVERSIDADE PRESBITERIANA MACKENZIE,Supervisor,Entretenimento,1.0,1.0,1.0,10.0,Mídia (revista/jornal/web),119.0,91.0,1.0,perfil1
178,Especialização,Outros,Engenheiro,Siderurgica,0.0,0.0,1.0,8.0,Minha empresa - benefício LITpass,42.0,34.0,0.0,perfil4
179,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,Outros,e-commerce,0.0,0.0,1.0,5.0,Saint Paul,142.0,135.0,2.0,perfil1
182,Tecnólogo,FACULDADE ANHANGUERA,Outros,Estado,1.0,1.0,1.0,6.0,Linkedin,81.0,76.0,0.0,perfil2
183,Especialização,UEPB,Sócio/Dono/Proprietário,Montadora,0.0,0.0,1.0,4.0,Minha empresa - benefício LITpass,81.0,78.0,0.0,perfil2
184,MBA,UNIVERSIDADE CRUZEIRO DO SUL,Gerente,Estado,1.0,1.0,1.0,5.0,Saint Paul,30.0,28.0,1.0,perfil1
188,SEM FORMAÇÃO,INSPER INSTITUTO DE ENSINO E PESQUISA,Assessor,Outros,1.0,1.0,1.0,7.0,Instagram,16.0,11.0,0.0,perfil4
190,MBA,UFF,Assessor,servicos,0.0,0.0,1.0,9.0,Outros,118.0,105.0,0.0,perfil2
195,Tecnólogo,UFPE,Diretor,Siderurgica,0.0,0.0,1.0,6.0,Google,144.0,34.0,0.0,perfil2
202,SEM FORMAÇÃO,UFF,Gerente,Outros,1.0,1.0,1.0,3.0,Instagram,5.0,2.0,0.0,perfil6
204,Tecnólogo,Outros,Advogado,Borracha,1.0,1.0,1.0,9.0,Google,17.0,15.0,0.0,perfil3
207,SEM FORMAÇÃO,USP,Analista,Eletrodomesticos,1.0,1.0,1.0,4.0,Facebook,2.0,1.0,0.0,perfil6
208,Especialização,Outros,Assessor,servicos,0.0,0.0,1.0,7.0,YouTube,3.0,1.0,0.0,perfil6
210,Licenciatura,UFSCar,Gerente,Laminados,1.0,1.0,1.0,10.0,Google,39.0,38.0,1.0,perfil6
214,Especialização,UFPE,Gerente,Eletrodomesticos,1.0,1.0,1.0,10.0,Minha empresa - benefício LITpass,22.0,18.0,0.0,perfil3
223,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Analista,Eletroeletronicos,1.0,1.0,1.0,6.0,YouTube,37.0,36.0,0.0,perfil2
231,Outros,FATEC,Analista Senior,Eletrodomesticos,0.0,0.0,1.0,8.0,Outros,72.0,58.0,0.0,perfil2
232,Bacharelado,FGV-RJ,Diretor,Laminados,1.0,1.0,1.0,2.0,Instagram,36.0,33.0,0.0,perfil2
236,Tecnólogo,FACULDADE ANHANGUERA,Analista Senior,Outros,1.0,1.0,1.0,4.0,Outros,9.0,4.0,0.0,perfil6
237,Licenciatura,Escola Paulista de Direito,Engenheiro,Borracha,0.0,0.0,1.0,9.0,Outros,22.0,21.0,0.0,perfil2
238,Bacharelado,UNICAMP,Supervisor,Outros,1.0,1.0,1.0,4.0,Outros,72.0,71.0,0.0,perfil4
244,Bacharelado,USP,Outros,Eletroeletronicos,0.0,0.0,1.0,7.0,Saint Paul,35.0,22.0,0.0,perfil2
245,Tecnólogo,UNIP,Assessor,Laminados,0.0,0.0,1.0,5.0,Minha empresa - benefício LITpass,3.0,3.0,0.0,perfil6
246,Outros,UNIVERSIDADE CRUZEIRO DO SUL,Diretor,Siderurgica,0.0,0.0,1.0,4.0,Minha empresa - benefício LITpass,5.0,4.0,0.0,perfil4
247,Especialização,FATEC,Advogado,Borracha,0.0,0.0,1.0,7.0,Saint Paul,99.0,98.0,0.0,perfil2
250,SEM FORMAÇÃO,UFF,Analista,Borracha,1.0,1.0,1.0,5.0,Saint Paul,20.0,20.0,0.0,perfil3
251,Outros,UNIVERSIDADE NOVE DE JULHO,Advogado,Eletrodomesticos,1.0,1.0,1.0,4.0,Outros,5.0,3.0,0.0,perfil6
252,SEM FORMAÇÃO,UNIP,Gerente,Eletrodomesticos,1.0,1.0,1.0,9.0,Outros,12.0,4.0,0.0,perfil6
254,Bacharelado,INSPER INSTITUTO DE ENSINO E PESQUISA,Sócio/Dono/Proprietário,Eletrodomesticos,0.0,0.0,1.0,3.0,Minha empresa - benefício LITpass,54.0,54.0,0.0,perfil2
263,Bacharelado,Outros,Gerente,Entretenimento,0.0,0.0,1.0,10.0,Minha empresa - benefício LITpass,118.0,87.0,0.0,perfil2
264,SEM FORMAÇÃO,UFPE,Analista,servicos,0.0,0.0,1.0,3.0,Outros,319.0,309.0,11.0,perfil1
265,Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Supervisor,Montadora,0.0,0.0,1.0,4.0,Facebook,14.0,11.0,0.0,perfil4
268,SEM FORMAÇÃO,Outros,Outros,e-commerce,1.0,1.0,1.0,8.0,Mídia (revista/jornal/web),7.0,5.0,0.0,perfil5
270,Especialização,FGV-RJ,Outros,Outros,1.0,1.0,1.0,8.0,Google,27.0,25.0,0.0,perfil2
274,Especialização,UNIVERSIDADE PRESBITERIANA MACKENZIE,Analista Senior,Outros,1.0,1.0,1.0,6.0,YouTube,34.0,31.0,1.0,perfil4
275,Especialização,Escola Paulista de Direito,Outros,Siderurgica,1.0,1.0,1.0,2.0,Outros,31.0,28.0,0.0,perfil2
279,Licenciatura,Universidade Metodista de Sao Paulo,Supervisor,Eletroeletronicos,1.0,1.0,1.0,10.0,Outros,13.0,9.0,0.0,perfil6
280,Tecnólogo,Outros,Advogado,Eletrodomesticos,0.0,0.0,1.0,2.0,YouTube,176.0,170.0,2.0,perfil1
281,Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Supervisor,Eletrodomesticos,1.0,1.0,1.0,7.0,Outros,92.0,81.0,0.0,perfil2
284,MBA,Outros,Gerente,servicos,0.0,0.0,1.0,6.0,Google,16.0,9.0,0.0,perfil4
285,MBA,Outros,Sócio/Dono/Proprietário,Outros,0.0,0.0,1.0,4.0,Outros,5.0,1.0,0.0,perfil2
286,Bacharelado,UNICAMP,Sócio/Dono/Proprietário,Siderurgica,0.0,0.0,1.0,10.0,Outros,65.0,28.0,0.0,perfil2
288,Bacharelado,FGV-RJ,Coordenador,Eletrodomesticos,1.0,1.0,1.0,7.0,YouTube,5.0,4.0,0.0,perfil6
290,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Analista Senior,e-commerce,0.0,0.0,1.0,2.0,Linkedin,374.0,183.0,0.0,perfil2
291,Bacharelado,Outros,SEM EXPERIÊNCIA,Estado,1.0,1.0,1.0,9.0,YouTube,9.0,5.0,0.0,perfil5
295,Outros,Outros,Outros,e-commerce,0.0,0.0,1.0,2.0,Facebook,2.0,1.0,0.0,perfil4
296,MBA,UFPE,Analista,Entretenimento,0.0,0.0,1.0,3.0,Outros,50.0,50.0,5.0,perfil1
297,Bacharelado,USP,Coordenador,Oleo e Gas,1.0,1.0,1.0,2.0,Outros,356.0,341.0,6.0,perfil1
298,SEM FORMAÇÃO,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Outros,Laminados,1.0,1.0,1.0,10.0,Google,8.0,5.0,0.0,perfil5
300,Especialização,Outros,Advogado,Montadora,1.0,1.0,1.0,5.0,Outros,68.0,68.0,1.0,perfil1
301,Especialização,Outros,SEM EXPERIÊNCIA,Laminados,1.0,1.0,1.0,8.0,Outros,13.0,10.0,0.0,perfil4
302,Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Supervisor,Siderurgica,0.0,0.0,1.0,4.0,Saint Paul,14.0,9.0,0.0,perfil6
305,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,Analista Senior,Eletroeletronicos,1.0,1.0,1.0,5.0,Outros,80.0,76.0,1.0,perfil4
306,MBA,Escola Paulista de Direito,SEM EXPERIÊNCIA,Siderurgica,0.0,0.0,1.0,9.0,Minha empresa - benefício LITpass,30.0,26.0,0.0,perfil2
309,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Engenheiro,Entretenimento,0.0,0.0,1.0,4.0,Outros,6.0,4.0,0.0,perfil6
313,Especialização,USP,Outros,Eletrodomesticos,1.0,1.0,1.0,4.0,Outros,30.0,30.0,0.0,perfil2
320,Licenciatura,UNIVERSIDADE PRESBITERIANA MACKENZIE,Gerente,Laminados,1.0,1.0,1.0,6.0,Saint Paul,59.0,58.0,0.0,perfil2
321,Tecnólogo,UFRJ,Supervisor,Montadora,1.0,1.0,1.0,7.0,Instagram,111.0,99.0,0.0,perfil2
324,MBA,Outros,Analista Senior,Borracha,1.0,1.0,1.0,5.0,YouTube,99.0,99.0,0.0,perfil2
327,SEM FORMAÇÃO,UNICAMP,Diretor,Entretenimento,0.0,0.0,1.0,6.0,Mídia (revista/jornal/web),2.0,1.0,0.0,perfil6
328,Licenciatura,Outros,Gerente,Outros,1.0,1.0,1.0,4.0,Linkedin,14.0,11.0,0.0,perfil4
333,Especialização,UNIP,Assessor,Outros,0.0,0.0,1.0,9.0,Outros,9.0,8.0,0.0,perfil5
335,Especialização,Universidade Metodista de Sao Paulo,Engenheiro,Siderurgica,0.0,0.0,1.0,8.0,Mídia (revista/jornal/web),45.0,42.0,0.0,perfil2
339,Bacharelado,Universidade Metodista de Sao Paulo,Outros,servicos,0.0,0.0,1.0,4.0,Saint Paul,3.0,2.0,0.0,perfil6
344,Licenciatura,UNICAMP,Analista,Siderurgica,0.0,0.0,1.0,10.0,Saint Paul,8.0,6.0,0.0,perfil1
348,Licenciatura,UNIVERSIDADE NOVE DE JULHO,Supervisor,e-commerce,0.0,0.0,1.0,8.0,Instagram,7.0,2.0,0.0,perfil6
349,Especialização,UFF,Assessor,Borracha,0.0,0.0,1.0,4.0,Instagram,26.0,15.0,2.0,perfil1
352,Outros,FACULDADE ANHANGUERA,Supervisor,servicos,0.0,0.0,1.0,3.0,Google,3.0,1.0,0.0,perfil6
354,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Outros,Montadora,1.0,1.0,1.0,5.0,Outros,94.0,84.0,2.0,perfil1
355,Licenciatura,Outros,Outros,e-commerce,1.0,1.0,1.0,4.0,Google,4.0,1.0,0.0,perfil6
359,Outros,UNIP,Coordenador,Laminados,1.0,1.0,1.0,4.0,Instagram,136.0,130.0,1.0,perfil1
362,Licenciatura,UNIP,Diretor,Oleo e Gas,1.0,1.0,1.0,4.0,Outros,25.0,24.0,0.0,perfil2
364,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,SEM EXPERIÊNCIA,Entretenimento,1.0,1.0,1.0,8.0,Outros,81.0,54.0,1.0,perfil1
365,Bacharelado,Universidade Metodista de Sao Paulo,Supervisor,Eletroeletronicos,0.0,0.0,1.0,6.0,Mídia (revista/jornal/web),23.0,19.0,0.0,perfil3
367,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Outros,Eletroeletronicos,1.0,1.0,1.0,7.0,Facebook,10.0,5.0,0.0,perfil5
372,Tecnólogo,Unesp,Engenheiro,Entretenimento,1.0,1.0,1.0,2.0,Linkedin,131.0,76.0,1.0,perfil1
375,Licenciatura,Outros,Analista Senior,Siderurgica,1.0,1.0,1.0,2.0,Saint Paul,110.0,103.0,0.0,perfil1
376,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Gerente,Laminados,0.0,0.0,1.0,9.0,Outros,2.0,1.0,0.0,perfil6
383,Outros,INSPER INSTITUTO DE ENSINO E PESQUISA,Diretor,Borracha,0.0,0.0,1.0,5.0,Mídia (revista/jornal/web),31.0,31.0,0.0,perfil2
385,Tecnólogo,Outros,Analista Senior,e-commerce,0.0,0.0,1.0,7.0,YouTube,6.0,5.0,0.0,perfil5
388,Outros,UNIP,Coordenador,Entretenimento,0.0,0.0,1.0,8.0,YouTube,48.0,44.0,1.0,perfil6
389,Tecnólogo,FATEC,Engenheiro,Estado,1.0,1.0,1.0,5.0,Google,7.0,5.0,0.0,perfil5
391,Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,Sócio/Dono/Proprietário,Outros,0.0,0.0,1.0,9.0,Mídia (revista/jornal/web),2.0,2.0,0.0,perfil6
392,SEM FORMAÇÃO,Unesp,Advogado,Borracha,0.0,0.0,1.0,3.0,Mídia (revista/jornal/web),3.0,3.0,0.0,perfil2
395,SEM FORMAÇÃO,UEPB,Analista Senior,Eletrodomesticos,1.0,1.0,1.0,5.0,YouTube,7.0,2.0,0.0,perfil6
396,Tecnólogo,UFPE,SEM EXPERIÊNCIA,Siderurgica,1.0,1.0,1.0,3.0,Google,31.0,30.0,1.0,perfil1
397,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Analista,Oleo e Gas,1.0,1.0,1.0,4.0,Outros,106.0,68.0,0.0,perfil2
401,Licenciatura,UNIP,Coordenador,Eletrodomesticos,0.0,0.0,1.0,9.0,Outros,17.0,5.0,0.0,perfil5
403,SEM FORMAÇÃO,UEPB,Outros,Borracha,0.0,0.0,1.0,10.0,Linkedin,2.0,1.0,0.0,perfil6
405,Especialização,UNIVERSIDADE CRUZEIRO DO SUL,Gerente,servicos,0.0,0.0,1.0,9.0,Instagram,3.0,1.0,0.0,perfil1
406,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Supervisor,Estado,0.0,0.0,1.0,10.0,Mídia (revista/jornal/web),14.0,12.0,0.0,perfil4
408,SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,Outros,servicos,0.0,0.0,1.0,5.0,Instagram,99.0,91.0,0.0,perfil2
409,MBA,Outros,Diretor,Outros,0.0,0.0,1.0,8.0,YouTube,5.0,2.0,0.0,perfil1
410,Licenciatura,UNIP,Sócio/Dono/Proprietário,Eletrodomesticos,0.0,0.0,1.0,7.0,Saint Paul,5.0,3.0,0.0,perfil6
413,Especialização,UNIVERSIDADE CRUZEIRO DO SUL,Assessor,Montadora,0.0,0.0,1.0,7.0,Linkedin,10.0,7.0,0.0,perfil5
415,Tecnólogo,USP,Outros,Siderurgica,0.0,0.0,1.0,7.0,Linkedin,3.0,1.0,0.0,perfil6
416,Especialização,Outros,Advogado,servicos,0.0,0.0,1.0,8.0,Instagram,10.0,9.0,0.0,perfil4
417,Licenciatura,UNIP,Advogado,servicos,0.0,0.0,1.0,9.0,Outros,12.0,10.0,0.0,perfil4
418,SEM FORMAÇÃO,UNICAMP,Analista Senior,Entretenimento,1.0,1.0,1.0,10.0,Instagram,6.0,4.0,0.0,perfil3
419,Especialização,UNIVERSIDADE CRUZEIRO DO SUL,Assessor,Outros,0.0,0.0,1.0,6.0,YouTube,51.0,42.0,0.0,perfil2
432,Licenciatura,UFRJ,Advogado,servicos,0.0,0.0,1.0,8.0,Minha empresa - benefício LITpass,23.0,20.0,0.0,perfil3
433,MBA,UFPE,Outros,Entretenimento,0.0,0.0,1.0,8.0,Outros,28.0,15.0,0.0,perfil3
434,SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,SEM EXPERIÊNCIA,Siderurgica,0.0,0.0,1.0,6.0,Outros,43.0,26.0,0.0,perfil2
435,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,Diretor,Estado,0.0,0.0,1.0,6.0,Mídia (revista/jornal/web),136.0,136.0,5.0,perfil1
436,MBA,UNICAMP,Engenheiro,Eletrodomesticos,1.0,1.0,1.0,6.0,Outros,6.0,3.0,0.0,perfil6
439,MBA,Outros,Coordenador,Entretenimento,0.0,0.0,1.0,3.0,Outros,99.0,99.0,3.0,perfil1
440,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,Entretenimento,0.0,0.0,1.0,4.0,Outros,10.0,8.0,0.0,perfil5
442,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Diretor,Outros,1.0,1.0,1.0,5.0,Facebook,19.0,17.0,0.0,perfil1
446,Outros,Universidade Metodista de Sao Paulo,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,3.0,Linkedin,10.0,10.0,0.0,perfil4
451,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Analista,Siderurgica,1.0,1.0,1.0,5.0,Mídia (revista/jornal/web),29.0,28.0,1.0,perfil1
454,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Assessor,Estado,0.0,0.0,1.0,6.0,Google,9.0,4.0,0.0,perfil6
457,Outros,FGV-RJ,Assessor,Oleo e Gas,0.0,0.0,1.0,2.0,Google,5.0,4.0,0.0,perfil6
458,Licenciatura,UFRN,SEM EXPERIÊNCIA,Entretenimento,1.0,1.0,1.0,2.0,Instagram,7.0,6.0,0.0,perfil5
461,Outros,FATEC,Gerente,servicos,0.0,0.0,1.0,2.0,Linkedin,3.0,1.0,0.0,perfil6
462,Licenciatura,UNIP,Assessor,Eletrodomesticos,0.0,0.0,1.0,10.0,Google,17.0,14.0,0.0,perfil4
465,Tecnólogo,USP,Supervisor,Outros,1.0,1.0,1.0,4.0,Instagram,10.0,5.0,0.0,perfil2
